relative_path,module_guess,inferred_subject_id,data_object_name,object_type,shape_or_rows_cols,dtype_or_column_types_if_known,key_variables_detected,sampling_rate_detected,sampling_rate_source,time_axis_detected,trial_axis_detected,channel_axis_detected,channel_labels_detected,lfp_data_possible,force_data_possible,behavior_data_possible,stim_data_possible,notes
Force_Scripts/ExampleData/Kont01_Newevents.mat,Example behavioral data,Kont01,Events,mat_array,100x7,float64,Events,,unknown,false,false,false,,false,false,false,false,
Force_Scripts/ExampleData/Kont02_Newevents.mat,Example behavioral data,Kont02,Events,mat_array,100x7,float64,Events,,unknown,false,false,false,,false,false,false,false,
Force_Scripts/Description.rtf,unknown,,text_or_table_header,text_config,102x1,text,{\rtf1\ansi\ansicpg1252\cocoartf1671\cocoasubrtf600,,unknown,true,true,false,,true,true,true,true,text_config_or_description
__MACOSX/Force_Scripts/._Description.rtf,macos_metadata,,text_or_table_header,text_config,6x3,text,        Mac OS X             |   2   u       §                                      ATTR       §                                  com.apple.lastuseddate#PS       $   *  $com.apple.metadata:_kMDItemUserTags     N   Y  7com.apple.metadata:kMDLabel_h3ywewgnobg6p6eesnuim73f5i   D d    Âz%2    bplist00                                 |òh °¥8Z5,,unknown,false,false,false,,false,true,true,false,text_config_or_description;apple_metadata_stub
