subject_id,tau_ms,n_windows,n_positive_labels,positive_label_fraction,timing_confidence,notes,pearson,spearman,rmse,mae,brier_score,auc_row_score,auprc_row_score,high_burden_threshold,predicted_high_burden_threshold,auc_high_burden,auprc_high_burden,balanced_accuracy_high_burden,calibration_slope,calibration_intercept
sub-0cGdk9,200.0,30987,14400,0.46471100784199826,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.12155780015589583,0.12328285602585082,0.38780719805732705,0.3487177323178142,0.2453601113468763,0.5996178901817353,0.5505561823941764,0.9004058353789349,0.4836713292093311,0.5897414413051361,0.3461866707807052,0.5262062662951646,0.9810662442436962,0.08312311016676802
sub-2IU8mi,200.0,37666,18159,0.48210587798014126,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.20427385453359553,0.20459512354434733,0.38517817691382733,0.34951978872512035,0.2409026942318242,0.6273077686351911,0.6147540252120147,0.8991008013512809,0.4822902583468047,0.6256466218891721,0.4164691069171827,0.5925057440659789,1.4433960318314942,-0.13615914788597255
sub-2IhVOz,200.0,37219,16131,0.4334076681264945,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.24249041399933483,0.241981540010643,0.3826982841571241,0.345831596697717,0.2374635184755429,0.6338789482080001,0.5741127509761592,0.9008522602473269,0.47737327552895925,0.6304411403878596,0.38786902712199023,0.5758743064927042,1.0321807324361048,-0.06819155236506953
sub-6m9kB5,200.0,17836,6177,0.3463220453016371,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.3980216366453115,0.4641103906258548,0.452786235767959,0.39956404665324086,0.2776820200728754,0.6985051843476744,0.5673494086738439,0.9014243016655696,0.4789784218082026,0.7031440843440586,0.4671034713094,0.5729689275049357,0.9136735684602731,-0.19826093384381455
sub-8RgPiG,200.0,43690,19407,0.44419775692378116,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.21039429988207026,0.20310055303037816,0.40225133176834366,0.3705592236037852,0.23567478742884915,0.6297026546361234,0.5818929212771886,0.8966607164074023,0.4797937054288751,0.6238031659778837,0.4427223896883073,0.5956233174615682,1.304713850339726,-0.14205683642905526
sub-AB2PeX,200.0,42042,19167,0.4559012416155273,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.24456610804443077,0.2457594867790381,0.38214177746255934,0.34695885786120434,0.2358153676394007,0.6411833898255797,0.607802829779,0.8998819005265396,0.482320560714446,0.6510915288965101,0.43353060844910046,0.6077816941970824,1.6530753767615483,-0.2495538500039537
sub-AbzsOg,200.0,50023,25083,0.5014293425024489,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.19829139970468335,0.2048598995125104,0.38589111381390895,0.3499356729648521,0.24293405796067535,0.6147451551466613,0.6147190598419814,0.8961710559726533,0.48121386515928904,0.6250221164549326,0.43246856556888974,0.5918613952065721,1.2721385338939948,-0.056263213362015944
sub-BYJoWR,200.0,33587,13692,0.40765772471491946,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.1151444153682521,0.12229748770710283,0.38267929528214756,0.3469082880126231,0.2368079473749276,0.5970224705118172,0.5002710698518514,0.9030620366482093,0.48202505361139997,0.59901690516964,0.30780627053743026,0.575568601890254,0.6843268263204759,0.13078024233104935
sub-FIyfdR,200.0,25355,11913,0.4698481561822126,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.11416278527891115,0.11925460969043679,0.39131583183080837,0.3516263805401038,0.24878367170715412,0.5841937223214784,0.5482566533492761,0.9004019059775829,0.4834596491834824,0.5793951357303675,0.32920308636799367,0.5136265364693963,1.0139453881679712,0.07681423929751742
sub-FYbcap,200.0,34794,15153,0.4355061217451285,high,beta_baseline_feature=beta_rise_acceleration__step50ms__smooth50ms,0.2091283443339521,0.19812129360043193,0.3833438143627562,0.34935514067664925,0.23473217534374524,0.6324141113963103,0.5760816779643396,0.901235113534496,0.48236292697990274,0.6292347183734437,0.38000662551357167,0.5865053941770179,1.552893293080029,-0.22259022670840214
