validation_mode,subject_id,model_name,feature_set_name,tau_ms,pearson,spearman,is_subject_best_tau,is_global_train_selected_tau,timing_confidence,notes
LOSO_cross_subject,sub-6m9kB5,class_prior_baseline,none,800.0,0.05880607499449045,0.20184134421036914,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-8RgPiG,class_prior_baseline,none,800.0,0.021192785057599303,0.018896752328459717,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AB2PeX,class_prior_baseline,none,800.0,0.042361552872612986,0.004055200257522071,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AbzsOg,class_prior_baseline,none,800.0,0.052608767462505375,0.014541100983250786,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-BYJoWR,class_prior_baseline,none,800.0,0.04715205584549505,0.07045216915211086,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FIyfdR,class_prior_baseline,none,800.0,0.04414189517820547,0.018809211802773663,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-FYbcap,class_prior_baseline,none,800.0,0.04118726592962231,0.017925424290105362,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-PuPVlx,class_prior_baseline,none,800.0,0.05483562304259805,0.06288303303488946,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-QZTsn6,class_prior_baseline,none,800.0,0.05576860556006183,0.03740818009998523,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-VopvKx,class_prior_baseline,none,800.0,0.06713166350139439,0.04367067125951885,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-dCsWjQ,class_prior_baseline,none,800.0,0.06010403837025543,0.023533898312006633,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-gNX5yb,class_prior_baseline,none,800.0,0.06101158676441114,0.0672711940378399,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-hnetKS,class_prior_baseline,none,800.0,0.08027118907396961,0.07533885409804941,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-i4oK0F,class_prior_baseline,none,800.0,0.05753492213737137,0.033937559554399706,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-iDpl28,class_prior_baseline,none,800.0,0.03650217457737616,-0.002149196423491019,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-jyC0j3,class_prior_baseline,none,800.0,0.04975422263555272,0.013461518613972828,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-oLNpHd,class_prior_baseline,none,800.0,0.05152713228415633,0.05882218343494029,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-0cGdk9,class_prior_baseline,none,1500.0,0.1133995879192293,0.1561963213249308,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IU8mi,class_prior_baseline,none,1500.0,0.09650945358824606,0.047103489583371176,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-2IhVOz,class_prior_baseline,none,1500.0,0.07823948322634547,0.05881883541046299,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-6m9kB5,class_prior_baseline,none,1500.0,0.07839641012265332,0.2762765317715934,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-8RgPiG,class_prior_baseline,none,1500.0,0.044224616403593715,0.02599131020939386,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AB2PeX,class_prior_baseline,none,1500.0,0.07052672089765212,0.04114291470310547,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-AbzsOg,class_prior_baseline,none,1500.0,0.09370115758699142,-0.00763611230782554,False,False,non_definitive_event_matrix,
LOSO_cross_subject,sub-BYJoWR,class_prior_baseline,none,1500.0,0.0761238361085155,0.08532458319006446,False,False,non_definitive_event_matrix,
