model_name,feature_set_name,validation_mode,tau_ms,median_pearson,median_spearman,beta_baseline_median_pearson,delta_vs_beta,delta_vs_shuffled,delta_vs_class_prior,architecture_value_interpretation
sklearn_random_forest_ceiling,top_k_train_only_25,LOSO_cross_subject,5000.0,0.9046631666338942,0.8924674251876157,0.2418910685290822,0.662772098104812,0.6973453974456063,0.6989209517655739,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,LOSO_cross_subject,200.0,0.89347734926473,0.872019900336223,0.3314097863776829,0.5620675628870471,0.8879204779853125,0.8834003723505883,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,LOSO_cross_subject,500.0,0.8931619475698509,0.888149752456058,0.3314007885441205,0.5617611590257304,0.865698161018051,0.8593320991924057,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,LOSO_cross_subject,800.0,0.9049763917924007,0.899818172639997,0.32352123516399656,0.5814551566284042,0.856502181010371,0.8514187481091523,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,LOSO_cross_subject,1500.0,0.9207113280486838,0.9184875522292149,0.29951281223075915,0.6211985158179247,0.8351841158165783,0.8319039815377749,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,LOSO_cross_subject,3000.0,0.9267456087812966,0.920984472594064,0.25769404330203166,0.669051565479265,0.7760972658634446,0.778007720456139,meaningful high-capacity improvement; not deployable by itself
sklearn_gradient_boosting_ceiling,top_k_train_only_25,LOSO_cross_subject,5000.0,0.9279920389018084,0.9162633458684624,0.2418910685290822,0.6861009703727261,0.7206742697135204,0.722249824033488,meaningful high-capacity improvement; not deployable by itself
numpy_ridge_fallback,compact_deployable,within_subject_block_or_time_calibrated,200.0,0.11950960574538941,0.10501384427885108,0.24674543708139307,-0.12723583133600366,,,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,within_subject_block_or_time_calibrated,500.0,0.12093746243470499,0.11518090508386059,0.2568606875297139,-0.13592322509500893,,,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,within_subject_block_or_time_calibrated,800.0,0.12749774005121234,0.12234235459178883,0.26139003014100537,-0.13389229008979303,,,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,within_subject_block_or_time_calibrated,1500.0,0.1416622820230533,0.1322163327684373,0.2555532324106971,-0.1138909503876438,,,architecture not justified beyond simple beta baseline
numpy_ridge_fallback,compact_deployable,within_subject_block_or_time_calibrated,3000.0,0.17463761354069984,0.13937924769615928,0.24479164576776302,-0.07015403222706318,,,architecture not justified beyond simple beta baseline
