row_type,validation_mode,model_name,feature_set_name,tau_ms,subject_id,n_rows,positive_fraction,pearson_burden,spearman_burden,rmse_burden,mae_burden,auroc_label,auprc_label,brier_score,calibration_slope,calibration_intercept,high_burden_balanced_accuracy,timing_confidence,continuity_class,median_pearson,median_spearman,iqr_pearson,iqr_spearman,n_valid_subjects,n_high_subjects_r_ge_0_5,n_moderate_subjects_r_0_3_to_0_5,n_low_subjects_r_le_0_2,beats_beta_by,beats_shuffled_by,beats_class_prior_by,deployable,offline_ceiling,notes
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-gNX5yb,42858,0.40018200874328613,0.013755023865403036,0.04514468932699627,0.38801268068220496,0.3563197256430874,0.5,0.4001819963600728,0.24219962327092323,0.9077277216135081,0.015007251389099844,0.5022142779343852,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-hnetKS,35629,0.47085240483283997,0.021249027423543204,0.051660908051724894,0.39039025556245605,0.35628832612926287,0.5,0.47085239552050295,0.24996384373961417,1.297414656291697,-0.08192680310432929,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-i4oK0F,24436,0.4714355766773224,0.012969182114471813,-0.007657112735257229,0.39014148677572763,0.3564237557024243,0.5,0.47143558683908987,0.25000464897493696,0.7800324440972936,0.14254753977652912,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-iDpl28,35798,0.3533158302307129,0.0037006734335186305,-0.00039392245604395027,0.3992222331645071,0.37168661173311435,0.5,0.3533158276998715,0.23759241689726293,0.25705115118929134,0.25600415958131045,0.5017824007702352,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-jyC0j3,34640,0.37283486127853394,0.009007595632535533,0.024675514099650964,0.38589804582038967,0.3552379257885023,0.5,0.3728348729792148,0.2394121197739104,0.5416457066923399,0.15198241652558148,0.5014193830837856,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,200.0,sub-oLNpHd,24360,0.4471674859523773,0.011146358195747788,0.011836109524587055,0.3965527123747857,0.3639657777904409,0.5,0.4471674876847291,0.2472208797726032,0.7331132897469524,0.14146245464889223,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-0cGdk9,30987,0.4647110104560852,0.04586504997711129,0.0536132383829205,0.3113024913292472,0.2672193268398932,0.5,0.46471100784199826,0.2492338439920699,1.0237686955611156,0.031742120106527535,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-2IU8mi,37666,0.48210588097572327,0.03307467238654885,0.024000774337079683,0.32264122205101803,0.27728923790899285,0.5,0.48210587798014126,0.2513210919653211,0.7668528183174761,0.16094695623624447,0.5,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-2IhVOz,37219,0.43340766429901123,0.035102270325181956,0.0048214808226597974,0.32482068110047047,0.28126123803043096,0.5,0.4334076681264945,0.24568622614969662,0.9359244270842727,0.04673973554948622,0.5029517095240581,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
subject,LOSO_cross_subject,class_prior_baseline,none,500.0,sub-6m9kB5,17836,0.34632205963134766,0.04831538050532588,0.16344646168653387,0.3821576158758672,0.3484793353707941,0.5,0.3463220453016371,0.2363968076460382,1.5287253871828395,-0.31462572412617246,0.5033180193976519,non_definitive_event_matrix,event_or_candidate_matrix,,,,,,,,,,,,True,False,training-subject class prior; row-order pseudo-burden is non-definitive
