proxy_name,proxy_type,n_subjects,n_rows,validation_mode,model_name,feature_set_name,metric_primary,metric_value,auroc,auprc,balanced_accuracy,rank_biserial_or_cohens_d,spearman_session_level,pearson_session_level,proxy_interpretation,notes
medication_state,medication_state,20,690088,LOSO_cross_subject,sklearn_gradient_boosting_ceiling,top_k_train_only_25,AUROC,0.506451739540718,0.506451739540718,0.547510827827405,0.493196937799976,0.035336893288463504,,weak_or_chance_proxy,positive=MedOff; negative=MedOn; supportive proxy only,
task_state,task_or_condition_state,18,357518,LOSO_cross_subject,sklearn_gradient_boosting_ceiling,top_k_train_only_25,AUROC,0.513799539661437,0.513799539661437,0.4929895072450665,0.5128401094924486,0.071733491077607,,weak_or_chance_proxy,positive=Hold; negative=Move; supportive proxy only,
task_state,task_or_condition_state,20,519491,LOSO_cross_subject,sklearn_gradient_boosting_ceiling,top_k_train_only_25,AUROC,0.5141324727483771,0.5141324727483771,0.6521775354764645,0.5148903722363218,0.07440860318195593,,weak_or_chance_proxy,positive=Rest; negative=Move; supportive proxy only,
task_state,task_or_condition_state,20,503167,LOSO_cross_subject,sklearn_gradient_boosting_ceiling,top_k_train_only_25,AUROC,0.4998217990071899,0.4998217990071899,0.6585481555003998,0.5014574280687281,0.0027003145996672196,,weak_or_chance_proxy,positive=Rest; negative=Hold; supportive proxy only,
condition,continuous_or_ordinal,20,690088,,,,not_assessable,,,,,,,proxy not numeric,,
