n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	target_fp_min	threshold	AUROC	AUPRC	target_status	target_dependent_gate_status	target_dependent_qc_reason	tier	mismatch_seed	support_status	qc_status	qc_reason	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction	no threshold achieved requested FP/min cap	0.5	0.0	0.827925936846802	0.4169644280388428	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier2_quantized	NA	proxy	warning	8-bit score quantization proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier2_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	6028	2351	2395	3633	0.023029151320429434	0.3973125414731254	0.04353491835787409	0.574334246670051	149.99999999999858	-269.00000000011914	0.02262753702687877	0.05904709662252174	1.0187154402381966	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0	1.0	0.827925936846802	0.4169644280388428	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier2_quantized	NA	proxy	warning	8-bit score quantization proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier2_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10754	4038	4096	6658	0.03955411017945302	0.38088153245304074	0.07166580837740867	1.0525508985216623	149.99999999999858	-279.00000000000347	0.039034950239009485	0.10534049055716636	1.0143635463100544	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		2.0	0.8941176470588236	0.827925936846802	0.4169644280388428	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier2_quantized	NA	proxy	warning	8-bit score quantization proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier2_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	42112	14020	14148	27964	0.13733249745317766	0.3359612462006079	0.19496728028571458	4.420777009050731	149.99999999999858	-287.00000000003456	0.1361766319253977	0.4125068568294021	1.009129814550642	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		5.0	0.6901960784313725	0.827925936846802	0.4169644280388428	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier2_quantized	NA	proxy	warning	8-bit score quantization proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier2_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
