n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	fp_per_min_target	threshold	threshold_selection_mode	n_loso_folds	n_no_feasible_folds	per_subject_recall_median	per_subject_recall_iqr	per_subject_recall_min	per_subject_recall_max	analysis_subtask	tier	scoring_definition	scoring_family	start_offset_s	stop_reference	stop_offset_s	committed_alarm_success_policy	metric_induced_or_score_induced	interpretation	selection_loso_safe	support_status	qc_status	qc_reason	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	target_fp_min	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
102088	13371	750	750	12621	0.007346602930804796	0.05609154139555755	0.012991624732589057	1.9952305332294835	-49.99999999999716	-275.49999999999386	0.007346602930804796	0.1309752370503879	2.0	2.169998184502818	train_subjects_only_per_LOSO_fold	20	0.0	0.0030194965700577896	0.003812929641926606	0.0	0.14084507042253522	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	32672	1485	1485	31187	0.014546273802993497	0.04545176297747307	0.022039180765805876	4.930295114478084	-52.500000000009095	-286.5000000000126	0.014546273802993497	0.3200376146070057	5.0	1.4926155793951006	train_subjects_only_per_LOSO_fold	20	0.0	0.009319557332634155	0.008699562450837198	0.0007554772097708386	0.1714424477901894	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unavailable	0	NA	NA	NA	NA	NA	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction	no LOSO fold had a feasible train-selected threshold	0.5	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	6973	479	479	6494	0.004692030405140663	0.06869353219561164	0.00878407496722018	1.0266244420245834	-49.000000000035016	-272.50000000001376	0.004692030405140663	0.06830381631533579	1.0	1.0	train_subjects_only_per_LOSO_fold	20	0.0	0.0010943046827952617	0.002390800416712333	0.0	0.11801845556095192	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	13319	746	746	12573	0.00730742104850717	0.05601021097680006	0.012928158603897512	1.9876423020596066	-48.000000000115506	-278.99999999998926	0.00730742104850717	0.13046587258051875	2.0	0.8705882352941177	train_subjects_only_per_LOSO_fold	20	0.0	0.0030194965700577896	0.003904733805641084	0.0	0.14133074307916466	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	32869	1494	1494	31375	0.014634433038163154	0.04545316255438255	0.022140385456108243	4.9600156865601015	-52.00000000001559	-286.0000000000156	0.014634433038163154	0.3219673223101638	5.0	0.7254901960784313	train_subjects_only_per_LOSO_fold	20	0.0	0.009398280017528484	0.008341788655892513	0.0007554772097708386	0.17192812044681885	R2_scoring_tolerance_sensitivity	tier2_quantized	S1_onset_tolerance_pm100ms	onset_tolerance	-0.1	onset	0.1	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10825	7430	7618	3207	0.0727803463678395	0.7037413394919169	0.13191785721960986	0.5069886950373943	149.99999999997726	-274.5000000000033	0.07093879789985111	0.10603596896794922	0.5	2.379307761759552	train_subjects_only_per_LOSO_fold	20	0.0	0.03234584583862328	0.061809558031287036	0.0	0.6338028169014085	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	20587	13779	14176	6411	0.13497178904474572	0.6885898868217807	0.2257030934438902	1.0135031256266713	149.99999999997726	-278.7500000000023	0.13108298722670636	0.20165935271530444	1.0	1.8350793844875213	train_subjects_only_per_LOSO_fold	20	0.0	0.11387368949409712	0.10661508875764283	0.000683900971139379	0.6925692083535697	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	36147	23557	24266	11881	0.23075190032129145	0.6713143552715302	0.3434494134581413	1.8782453026938826	149.99999999997726	-289.5000000000012	0.2238069116840373	0.35407687485306794	2.0	1.412253394881552	train_subjects_only_per_LOSO_fold	20	0.0	0.23692645472595236	0.124953386340217	0.011489536315141567	0.7425934919864011	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	76217	45313	47061	29156	0.44386215813807695	0.6174606715037327	0.5164638290340541	4.609218083102672	149.99999999997726	-296.0000000000207	0.4267396755740146	0.7465813807695322	5.0	0.9343809805634625	train_subjects_only_per_LOSO_fold	20	0.0	0.4667373112319838	0.11291168636456805	0.13595951306250856	0.8223434535104365	R2_scoring_tolerance_sensitivity	tier1_continuous	S1_onset_tolerance_pm200ms	onset_tolerance	-0.2	onset	0.2	False	metric_induced	metric sensitivity only; widened onset tolerance is not a deployment claim	True	proxy	warning	scoring tolerance sensitivity; underlying causal scores unchanged	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,alternative event scoring windows	Phase 5_2C scoring tolerance sensitivity	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
