fp_per_min_target	current_policy_best_recall	best_scoring_definition	best_scoring_family	best_tier	best_recall	recall_improvement_factor	precision	F1	achieved_fp_per_min	metric_induced_or_score_induced	tolerance_interpretation	support_status	qc_status	qc_reason	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
0.5	0.0195517592665151	S1_onset_tolerance_pm600ms	onset_tolerance	tier2_quantized	0.3601402711386255	18.419839679358777	0.9311175438967184	0.5193895762973045	0.5153673669541333	metric_induced	event recall is materially sensitive to scoring tolerance	proxy	warning	widened scoring windows are sensitivity analyses and do not approve a deployment target	event_scoring_tolerance_sweep.tsv	current and widened scoring recall	Phase 5_2C scoring tolerance sensitivity summary	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
1.0	0.0378105164172086	S1_onset_tolerance_pm600ms	onset_tolerance	tier2_quantized	0.5081106496356085	13.438341968911946	0.9169037408177996	0.6538720710771436	0.9281355249655572	metric_induced	event recall is materially sensitive to scoring tolerance	proxy	warning	widened scoring windows are sensitivity analyses and do not approve a deployment target	event_scoring_tolerance_sweep.tsv	current and widened scoring recall	Phase 5_2C scoring tolerance sensitivity summary	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
2.0	0.0694890682548389	S1_onset_tolerance_pm600ms	onset_tolerance	tier2_quantized	0.6617134237128751	9.52255427121512	0.8800463399308828	0.7554205140823813	1.9315210090323929	metric_induced	event recall is materially sensitive to scoring tolerance	proxy	warning	widened scoring windows are sensitivity analyses and do not approve a deployment target	event_scoring_tolerance_sweep.tsv	current and widened scoring recall	Phase 5_2C scoring tolerance sensitivity summary	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
5.0	0.1437877125617114	S1_onset_tolerance_pm600ms	onset_tolerance	tier2_quantized	0.8563592194969046	5.955719054431503	0.8105662741629351	0.8328337463585924	4.8754385266458495	metric_induced	event recall is materially sensitive to scoring tolerance	proxy	warning	widened scoring windows are sensitivity analyses and do not approve a deployment target	event_scoring_tolerance_sweep.tsv	current and widened scoring recall	Phase 5_2C scoring tolerance sensitivity summary	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
