branch	target_type	metric_family	primary_metric	primary_metric_value	FP_min_or_false_state_minutes	latency_or_window	causal_status	deployability_class	target_tautology_risk	feature_tautology_risk	leakage_risk_level	LOSO_support	per_subject_stability	SNN_compatible	DYNAP_candidate	interpretation	support_status	qc_status	qc_reason	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level
current_event_detector	discrete_event	recall_at_fp_min	Tier3 median recall	0.0393679962385393	2.0	149.99999999999858	causal Stage F pre-Brian2	deployable_estimate	evaluation_target_from_phase3	low	low	True	Tier3 median	True	True	current Stage F event detector remains low recall	direct	warning	pre-ADR comparison, not deployment validation	event_alarm_reconstruction_best.tsv;event_scoring_tolerance_summary.tsv;burden_state_ceiling_metrics_pre_adr.tsv	primary metrics by branch	Phase 5_2C pre-ADR event vs burden comparison	b43c5edce66220e2	20260426	False	False	False	False	low
best_bounded_alarm_remediation	discrete_event	recall_at_fp_min	A1_leaky_evidence_integrator	0.1456390565002742	5.0	149.99999999997726	causal pre-ADR bounded analysis	proxy	evaluation_target_from_phase3	low	low	True	0.1491596233576992	True	True	best bounded event reconstruction remains below 0.25 recall at 5 FP/min	proxy	warning	pre-ADR comparison, not deployment validation	event_alarm_reconstruction_best.tsv;event_scoring_tolerance_summary.tsv;burden_state_ceiling_metrics_pre_adr.tsv	primary metrics by branch	Phase 5_2C pre-ADR event vs burden comparison	b43c5edce66220e2	20260426	False	False	False	False	low
best_widened_scoring_sensitivity	discrete_event_scoring_sensitivity	recall_at_fp_min	S1_onset_tolerance_pm600ms	0.8563592194969046	5.0	onset_tolerance	causal score, widened metric	proxy	evaluation_target_from_phase3	low	low	True	sensitivity	True	True	event recall is materially sensitive to scoring tolerance	proxy	warning	pre-ADR comparison, not deployment validation	event_alarm_reconstruction_best.tsv;event_scoring_tolerance_summary.tsv;burden_state_ceiling_metrics_pre_adr.tsv	primary metrics by branch	Phase 5_2C pre-ADR event vs burden comparison	b43c5edce66220e2	20260426	False	False	False	False	low
best_deployable_burden_state_estimate	burden_state	high_burden_AUROC	rolling_dynamic_confirmation_occupancy	0.5846745049124301	NA	5.0s	causal Phase 5_2C rolling score	deployable_estimate	evaluation_target_from_phase3	low	low	True	0.0968132494730704	True	True	best deployable causal burden/state estimate	direct	warning	pre-ADR comparison, not deployment validation	event_alarm_reconstruction_best.tsv;event_scoring_tolerance_summary.tsv;burden_state_ceiling_metrics_pre_adr.tsv	primary metrics by branch	Phase 5_2C pre-ADR event vs burden comparison	b43c5edce66220e2	20260426	False	False	False	False	low
best_diagnostic_burden_state_upper_bound	burden_state	high_burden_AUROC	rolling_best_loaded_refined_variants	0.5616720449350708	NA	5.0s	causal refined variants diagnostic	diagnostic_upper_bound	evaluation_target_from_phase3	low	low	True	0.1052640426862094	True	True	diagnostic upper bound from loaded causal refined variants	proxy	warning	pre-ADR comparison, not deployment validation	event_alarm_reconstruction_best.tsv;event_scoring_tolerance_summary.tsv;burden_state_ceiling_metrics_pre_adr.tsv	primary metrics by branch	Phase 5_2C pre-ADR event vs burden comparison	b43c5edce66220e2	20260426	False	False	False	False	low
