tier	fp_per_min_target	threshold	achieved_fp_per_min	event_recall	precision	f1	n_alarms	n_true_positive_events	n_false_positive_alarms	n_events_total	threshold_rank_or_quantile	tie_count_at_threshold	score_mass_near_threshold	n_scores_at_or_above_threshold	dense_score_ranking_ceiling_recall_at_fp1	dense_score_ranking_threshold_at_fp1	tier2_event_scoring_differs_from_tier1	tier3_seed_aggregation_masks_tier2_behavior	anomaly_classification	qc_status	qc_reason	support_status	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
tier1_continuous	1.0	5.804225833015646	0.0482168855585921	0.002145208055795	0.4256120527306968	0.0042688996206989	531.0	219.0	305.0	102088.0	0.9989986784294177	0.0	4.347271652311009e-06	691.0	0.03709544706527702	2.375420399757646	False	False	coarse_threshold_grid_artifact	warning	same event evaluator is used across tiers; anomaly arises from threshold-grid discontinuity and tier2 quantized ties, not an identified measurement bug	direct	causal_tier1_event_metrics.tsv;causal_tier2_event_metrics.tsv;causal_tier3_event_metrics.tsv;causal_feature_matrix.tsv	threshold,recall,score distribution,event reconstruction metrics	Phase 5_2C Tier 1/Tier 2 FP/min 1.0 anomaly analysis	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier2_quantized	1.0	1.0	0.5743342466700506	0.0230291513204294	0.3973125414731254	0.043534918357874	6028.0	2351.0	3633.0	102088.0	1.0	6966.0	0.010094364776666165	6966.0	0.037428493064806834	0.9058823529411765	False	True	quantization_tie_threshold_jump	warning	same event evaluator is used across tiers; anomaly arises from threshold-grid discontinuity and tier2 quantized ties, not an identified measurement bug	direct	causal_tier1_event_metrics.tsv;causal_tier2_event_metrics.tsv;causal_tier3_event_metrics.tsv;causal_feature_matrix.tsv	threshold,recall,score distribution,event reconstruction metrics	Phase 5_2C Tier 1/Tier 2 FP/min 1.0 anomaly analysis	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
tier3_quantized_mismatched_median	1.0	1.0425169602286466	0.0660018023629909	0.0025615155552072	0.3848387977076917	0.0050891571393997005	680.0	261.5	417.5	102088.0	0.9989986784294177	0.0	0.00020649540348477294	691.0	0.034244965128124756	0.9217826676344776	False	True	mismatch_seed_threshold_grid_fragility	warning	tier3 median summarizes noisy seed-specific threshold jumps and therefore masks the tier2 max-bin behavior at FP/min 1.0	direct	causal_tier1_event_metrics.tsv;causal_tier2_event_metrics.tsv;causal_tier3_event_metrics.tsv;causal_feature_matrix.tsv	threshold,recall,score distribution,event reconstruction metrics	Phase 5_2C Tier 1/Tier 2 FP/min 1.0 anomaly analysis	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
