n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	threshold	target_fp_min	AUROC	AUPRC	target_status	target_dependent_gate_status	target_dependent_qc_reason	tier	mismatch_seed	support_status	qc_status	qc_reason	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate
102088	10691	4010	4070	6621	0.03927983700336964	0.38069404171733234	0.07121204753191572	1.0467016369948823	149.99999999999858	-280.00000000002956	0.038731290651202885	0.10472337591097876	1.0149625935162094	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.8973162579155621	2.0	0.8200500813590462	0.40905606354511864	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	2	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	41125	13604	13729	27396	0.13325758169422458	0.33383586626139816	0.19048077174063466	4.330982940207189	149.99999999999858	-287.00000000003456	0.13213110257816785	0.40283872737246296	1.0091884739782417	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.6963973894611819	5.0	0.8200500813590462	0.40905606354511864	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	2	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	683	259	259	424	0.0025370268787712562	0.37920937042459735	0.005040332389487307	0.06702937533391182	150.00000000000568	-262.00000000000045	0.0025370268787712562	0.0066903064023195674	1.0	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0424820826668741	0.5	0.8199998462710842	0.4093024997997582	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	3	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	683	259	259	424	0.0025370268787712562	0.37920937042459735	0.005040332389487307	0.06702937533391182	150.00000000000568	-262.00000000000045	0.0025370268787712562	0.0066903064023195674	1.0	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0424820826668741	1.0	0.8199998462710842	0.4093024997997582	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	3	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10722	4030	4088	6634	0.03947574641485777	0.38127215071814957	0.07154404259346381	1.048756782936724	149.99999999999858	-280.5000000000035	0.038946791003839826	0.10502703549878536	1.0143920595533498	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.8975683254981071	2.0	0.8199998462710842	0.4093024997997582	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	3	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	41135	13602	13725	27410	0.13323799075307577	0.33365746930837487	0.1904317116493394	4.333196174298402	149.99999999999858	-287.00000000003456	0.13213110257816785	0.40293668207820704	1.0090427878253199	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.6960515781046795	5.0	0.8199998462710842	0.4093024997997582	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	3	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	681	269	270	411	0.00263498158451532	0.3964757709251101	0.005235170180332259	0.06497422939207018	149.99999999999858	-251.00000000000477	0.002625186113940914	0.006670715461170755	1.003717472118959	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0420859023010114	0.5	0.819976845856476	0.40926175814185206	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	4	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	681	269	270	411	0.00263498158451532	0.3964757709251101	0.005235170180332259	0.06497422939207018	149.99999999999858	-251.00000000000477	0.002625186113940914	0.006670715461170755	1.003717472118959	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0420859023010114	1.0	0.819976845856476	0.40926175814185206	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	4	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10737	4028	4089	6648	0.039456155473708954	0.3808326348141939	0.07150412761852601	1.0509700170279381	149.99999999999858	-279.0000000000017	0.038907609121542196	0.10517396755740145	1.0151439920556107	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.8970091641326339	2.0	0.819976845856476	0.40926175814185206	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	4	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	41094	13616	13739	27355	0.13337512734111748	0.3343310458947778	0.19068145075696727	4.324501326082919	149.99999999999858	-288.00000000006776	0.13226823916620956	0.40253506778465636	1.0090334900117508	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.6967582911257703	5.0	0.819976845856476	0.40926175814185206	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	4	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	681	277	277	404	0.0027133453491105714	0.4067547723935389	0.0053907306678083865	0.06386761234646314	150.00000000000034	-261.99999999998624	0.0027133453491105714	0.006670715461170755	1.0	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0417147439117267	0.5	0.8194848843228225	0.40839519001373337	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	5	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	681	277	277	404	0.0027133453491105714	0.4067547723935389	0.0053907306678083865	0.06386761234646314	150.00000000000034	-261.99999999998624	0.0027133453491105714	0.006670715461170755	1.0	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0417147439117267	1.0	0.8194848843228225	0.40839519001373337	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	5	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10700	4017	4073	6627	0.03934840529739048	0.38065420560747665	0.07132401357281958	1.047650165891117	149.99999999999858	-275.0000000000057	0.038839040827521355	0.10481153514614842	1.0139407518048296	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.8975352511024302	2.0	0.8194848843228225	0.40839519001373337	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	5	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	41147	13617	13736	27411	0.13338492281169187	0.33382749653680704	0.1906094659044958	4.333354262447775	149.99999999999858	-287.00000000003456	0.13230742104850718	0.4030542277250999	1.0087390761548065	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.6968265646396004	5.0	0.8194848843228225	0.40839519001373337	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	5	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	680	252	253	427	0.0024684585847504115	0.3720588235294118	0.004904378617167695	0.06750363978202911	150.00000000000034	-246.4999999999975	0.002458663114176005	0.006660919990596348	1.003968253968254	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0432597214126842	0.5	0.8197166841052698	0.4091674075645796	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	6	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	680	252	253	427	0.0024684585847504115	0.3720588235294118	0.004904378617167695	0.06750363978202911	150.00000000000034	-246.4999999999975	0.002458663114176005	0.006660919990596348	1.003968253968254	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0432597214126842	1.0	0.8197166841052698	0.4091674075645796	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	6	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	10715	4006	4065	6650	0.03924065512107202	0.3793747083527765	0.07112453765953858	1.0512861933266828	149.99999999999858	-278.00000000002	0.03870190423947967	0.10495846720476451	1.0147279081377933	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.8967401490233967	2.0	0.8197166841052698	0.4091674075645796	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	6	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	41142	13650	13774	27368	0.13370817334064727	0.3347916970492441	0.19109668578911804	4.326556472024761	149.99999999999858	-286.99999999999903	0.13259148969516496	0.4030052503722279	1.009084249084249	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		0.6965061053420872	5.0	0.8197166841052698	0.4091674075645796	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	6	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	681	255	256	425	0.0024978449964736305	0.37591776798825255	0.004962714452761713	0.06718746348328425	149.99999999999997	-250.99999999997635	0.0024880495258992243	0.006670715461170755	1.003921568627451	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0435491797149454	0.5	0.8196488045927564	0.4087643705568693	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	7	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
102088	681	255	256	425	0.0024978449964736305	0.37591776798825255	0.004962714452761713	0.06718746348328425	149.99999999999997	-250.99999999997635	0.0024880495258992243	0.006670715461170755	1.003921568627451	NA	single Stage F event reconstruction run; threshold stability requires repeated production event traces	LOSO_fold_local_score_event_reconstruction		1.0435491797149454	1.0	0.8196488045927564	0.4087643705568693	unavailable	unavailable	Historical FP/min and latency references exist, but no explicit Phase 5_2C event-level recall target/gate was found.	tier3_quantized_mismatched	7	proxy	warning	deterministic score-level mismatch proxy; pre-Brian2	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	minimum subset fold-local score,window timing,Phase 3 labels for evaluation only	Phase 5_2C Stage F event-level scoring: causal_tier3_event_metrics.tsv	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True
