n_true_events	n_alarms	true_positive_events	true_positive_alarms	false_positive_alarms	recall	precision	F1	fp_per_min_achieved	median_latency_ms	early_warning_candidate_latency_ms	one_alarm_per_burst_fraction	alarms_per_burst	fp_per_min_target	threshold	threshold_selection_mode	n_loso_folds	n_no_feasible_folds	per_subject_recall_median	per_subject_recall_iqr	per_subject_recall_min	per_subject_recall_max	analysis_subtask	tier	tier3_seed_count	strategy_id	param_id	scoring_definition	metric_induced_or_score_induced	selection_loso_safe	uses_oracle_labels_for_selection	support_status	qc_status	qc_reason	success_alarms_per_detected_burst	threshold_stability	threshold_stability_qc_reason	evaluation_mode	event_metric_qc_reason	target_fp_min	source_table	source_columns	source_lineage	config_hash	random_seed	uses_future_samples	uses_phase3_threshold	uses_phase3_duration_rule	uses_test_participant_statistics	tautology_risk_level	leakage_risk_level	SNN_compatible	DYNAP_candidate	mismatch_seed	per_subject_recall_p05_across_seeds
102088.0	19392.0	6795.0	6876.0	12516.0	0.06656022255309145	0.35457920792079206	0.11208103200096999	1.978631277545378	149.99999999997726	-256.5000000000168	0.06581576678943657	0.1899537653788888	2.0	1.3688060841793446	train_subjects_only_per_LOSO_fold	20	0.0	0.0572453326020905	0.06300596844554208	0.000683900971139379	0.26032054395337545	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau300ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	41727.0	13622.0	13755.0	27972.0	0.1334339001645639	0.32964267740312025	0.18997077475877513	4.422041714245711	149.99999999997726	-267.7500000000279	0.1322094663427631	0.40873560065825565	5.0	0.9596661755057223	train_subjects_only_per_LOSO_fold	20	0.0	0.13540743588696702	0.07951400336150062	0.012994118451648202	0.33610056925996207	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau300ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	4645.0	1516.0	1553.0	3092.0	0.014849933390800095	0.33433799784714746	0.028436818995673532	0.48880855785956445	149.99999999997726	-245.99999999999744	0.014526682861844683	0.045499960818117705	0.5	2.1290564385160238	train_subjects_only_per_LOSO_fold	20	0.0	0.0034117736601185908	0.014109359564281516	0.0	0.15104419621175327	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau500ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	9460.0	3037.0	3094.0	6366.0	0.02974884413447222	0.327061310782241	0.05453710228145371	1.0063891589049119	149.99999999997726	-255.49999999999073	0.029239479664603087	0.09266515163388449	1.0	1.5298851936814784	train_subjects_only_per_LOSO_fold	20	0.0	0.014423844665444932	0.03099875347942173	0.0	0.20689655172413793	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau500ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	18494.0	5789.0	5869.0	12625.0	0.05670597915523862	0.31734616632421325	0.09621880430339241	1.9958628858269731	149.99999999997726	-260.4999999999968	0.05598111433273254	0.18115743280307187	2.0	1.1795751013439735	train_subjects_only_per_LOSO_fold	20	0.0	0.04662633413262679	0.05661741751368249	0.0008206811653672548	0.25012141816415734	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau500ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	38929.0	11545.0	11684.0	27245.0	0.11308870778152183	0.3001361452901436	0.16427864189234948	4.307111629651951	149.99999999997726	-265.0000000000432	0.11185447848914662	0.38132787399106655	5.0	0.8554321274112757	train_subjects_only_per_LOSO_fold	20	0.0	0.11407296347108972	0.0836859375323282	0.008070031459444672	0.31214421252371916	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau500ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	3923.0	958.0	992.0	2931.0	0.009384060810281326	0.25286770328829977	0.018096548656363596	0.46335636581060263	149.99999999999991	-316.7500000000054	0.00907060575190032	0.038427631063396285	0.5	1.6495072938099724	train_subjects_only_per_LOSO_fold	20	0.0	0.0026955450399042923	0.007565617736782795	0.00017491691446562882	0.11267605633802817	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau1000ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	8595.0	2101.0	2155.0	6440.0	0.020580283676827835	0.25072716695753344	0.038038293525728115	1.0180876819584719	149.99999999998292	-319.25000000001194	0.020110101089256326	0.08419206958702297	1.0	1.2868960933996667	train_subjects_only_per_LOSO_fold	20	0.0	0.008110592005612918	0.01842148651598159	0.00020833333333333335	0.17095677513355997	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau1000ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	16959.0	4051.0	4130.0	12829.0	0.03968145129692031	0.24352850993572733	0.06824311309084102	2.0281128682989498	149.99999999997726	-299.50000000000114	0.03898597288613745	0.16612138547135805	2.0	0.9881984598658216	train_subjects_only_per_LOSO_fold	20	0.0	0.02383442772896667	0.038854845392858384	0.000625	0.21952404079650314	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau1000ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
102088.0	36485.0	8683.0	8831.0	27654.0	0.08505407099757073	0.2420446758942031	0.12587565830633443	4.371769682745277	149.99999999997726	-317.99999999999943	0.08382963717576992	0.3573877439072173	5.0	0.7142053230868569	train_subjects_only_per_LOSO_fold	20	0.0	0.07943022755118269	0.07613426900455889	0.003556285049924771	0.27391937833899954	R1_alarm_reconstruction_headroom	tier1_continuous	0	A1_leaky_evidence_integrator	tau1000ms	S0_current_policy	score_to_alarm_reconstruction	True	False	proxy	warning	bounded LOSO-safe threshold selection over existing causal scores; strategy choice itself is posthoc analysis, not a deployed target	NA	NA	NA	NA	NA	NA	causal_feature_matrix.tsv;causal_minimum_sufficient_subset.tsv	fold-local minimum subset score,window timing,frozen event labels for evaluation only	Phase 5_2C pre-ADR bounded alarm reconstruction sweep	b43c5edce66220e2	20260426	False	False	False	False	low	low	True	True	NA	NA
